wavelength,element_symbol,ionization_level,relative_intensity,concentration,units
213.898,Zn,1,0.07423653571523135,1.5,g
213.898,Zn,1,0.11407193422342404,1.5,g
213.898,Zn,1,0.11400204587001078,1.5,g
213.898,Zn,1,0.08472784488620412,1.5,g
202.59,Zn,1,0.07378285984950382,1.5,g
202.59,Zn,1,0.11373059747745934,1.5,g
202.59,Zn,1,0.11296972300117361,1.5,g
202.59,Zn,1,0.08416310650653508,1.5,g
206.22,Zn,1,0.07352448051231156,1.5,g
206.22,Zn,1,0.11420235022321425,1.5,g
206.22,Zn,1,0.11316544168416838,1.5,g
206.22,Zn,1,0.08482777011683154,1.5,g
481.039,Zn,1,0.11576125883342056,1.5,g
481.039,Zn,1,0.17154424389431977,1.5,g
481.039,Zn,1,0.17237683063941106,1.5,g
481.039,Zn,1,0.12885554646014413,1.5,g
472.224,Zn,1,0.08333635483424313,1.5,g
472.224,Zn,1,0.12879352859371648,1.5,g
472.224,Zn,1,0.13256854788202518,1.5,g
472.224,Zn,1,0.09731407675222202,1.5,g
334.417,Zn,1,0.12766938189033936,1.5,g
334.417,Zn,1,0.17380406278806912,1.5,g
334.417,Zn,1,0.16913360209545916,1.5,g
334.417,Zn,1,0.12117068352074782,1.5,g
330.254,Zn,1,0.07567478867393192,1.5,g
330.254,Zn,1,0.1309375550287007,1.5,g
330.254,Zn,1,0.13401217257959405,1.5,g
330.254,Zn,1,0.09573022216692471,1.5,g
468.008,Zn,1,0.08723467478910413,1.5,g
468.008,Zn,1,0.13370454275308902,1.5,g
468.008,Zn,1,0.13392118392322805,1.5,g
468.008,Zn,1,0.10015782855049933,1.5,g
179.48,Zn,1,0.07169942093851794,1.5,g
179.48,Zn,1,0.11023400828408383,1.5,g
179.48,Zn,1,0.10905462010338382,1.5,g
179.48,Zn,1,0.08278010491445915,1.5,g
328.171,Zn,1,0.0875363812463394,1.5,g
328.171,Zn,1,0.14018899541028165,1.5,g
328.171,Zn,1,0.1352126099212015,1.5,g
328.171,Zn,1,0.095836239111039,1.5,g
636.28,Zn,1,0.11970538160436969,1.5,g
636.28,Zn,1,0.1826566528030264,1.5,g
636.28,Zn,1,0.18182196441912077,1.5,g
636.28,Zn,1,0.1384467034421005,1.5,g
307.497,Zn,1,0.10854001336193639,1.5,g
307.497,Zn,1,0.15447965779318357,1.5,g
307.497,Zn,1,0.15549638610520905,1.5,g
307.497,Zn,1,0.11060986769579573,1.5,g
334.625,Zn,1,0.14197124672543987,1.5,g
334.625,Zn,1,0.18794550846804697,1.5,g
334.625,Zn,1,0.18543625628721358,1.5,g
334.625,Zn,1,0.13338974294596767,1.5,g
330.254,Zn,1,0.07567478867393192,1.5,g
330.254,Zn,1,0.1309375550287007,1.5,g
330.254,Zn,1,0.13401217257959405,1.5,g
330.254,Zn,1,0.09573022216692471,1.5,g
279.998,Zn,1,0.2384768095665631,1.5,g
279.998,Zn,1,0.3500366555891761,1.5,g
279.998,Zn,1,0.3496964895080049,1.5,g
279.998,Zn,1,0.27322245430714276,1.5,g
277.05,Zn,1,0.11811886467812571,1.5,g
277.05,Zn,1,0.19460062527779848,1.5,g
277.05,Zn,1,0.18868961870844775,1.5,g
277.05,Zn,1,0.1352771499927205,1.5,g
307.287,Zn,1,0.10547998810495562,1.5,g
307.287,Zn,1,0.14992858034107845,1.5,g
307.287,Zn,1,0.1507268128460167,1.5,g
307.287,Zn,1,0.10975892626931662,1.5,g
275.576,Zn,1,0.12444333524413898,1.5,g
275.576,Zn,1,0.20316320369680763,1.5,g
275.576,Zn,1,0.1936559833906969,1.5,g
275.576,Zn,1,0.14039452730246982,1.5,g
277.05,Zn,1,0.11811886467812571,1.5,g
277.05,Zn,1,0.19460062527779848,1.5,g
277.05,Zn,1,0.18868961870844775,1.5,g
277.05,Zn,1,0.1352771499927205,1.5,g
280.209,Zn,1,0.2693420915883066,1.5,g
280.209,Zn,1,0.38835761208338815,1.5,g
280.209,Zn,1,0.3895455159846274,1.5,g
280.209,Zn,1,0.30804673985695497,1.5,g
