Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short)
H,656.285175,1,0.64651,6,4,12.088,10.199,1.01E-10,1.01E-10
H,656.2709699,1,0.53877,4,2,12.088,10.199,5.63E-11,5.63E-11
H,656.2724827,1,0.22448,4,2,12.088,10.199,2.35E-11,2.34E-11
H,656.2771534,1,0.22449,2,2,12.087,10.199,1.17E-11,1.17E-11
H,656.2867336,1,0.10775,4,4,12.088,10.199,1.13E-11,1.13E-11
H,486.1361516,1,0.20625,6,4,12.749,10.199,9.49E-12,9.49E-12
H,486.1278624,1,0.17188,4,2,12.749,10.199,5.27E-12,5.27E-12
H,486.1286949,1,0.09668,4,2,12.749,10.199,2.97E-12,2.97E-12
H,656.2909442,1,0.042097,2,4,12.087,10.199,2.20E-12,2.20E-12
H,486.1297761,1,0.096683,2,2,12.749,10.199,1.48E-12,1.48E-12
H,434.0426937,1,0.078548,4,2,13.055,10.199,1.37E-12,1.37E-12
H,656.2751807,1,0.021046,2,2,12.087,10.199,1.10E-12,1.10E-12
H,486.1365118,1,0.034375,4,4,12.749,10.199,1.05E-12,1.05E-12
H,410.17631,1,0.05145,6,4,13.221,10.199,9.88E-13,9.88E-13
H,434.0433569,1,0.049483,4,2,13.055,10.199,8.62E-13,8.61E-13
H,434.0437982,1,0.049484,2,2,13.054,10.199,4.31E-13,4.31E-13
H,434.0495889,1,0.015709,4,4,13.055,10.199,2.74E-13,2.74E-13
H,486.1374864,1,0.01719,2,4,12.749,10.199,2.64E-13,2.64E-13
H,486.128837,1,0.0085941,2,2,12.749,10.199,1.32E-13,1.32E-13
H,410.1765915,1,0.0049006,2,4,13.221,10.199,3.14E-14,3.14E-14
H,410.1704339,1,0.0024501,2,2,13.221,10.199,1.57E-14,1.57E-14
Li,670.776,1,0.36891,4,2,1.848,0,2.73E-03,2.47E-04
Li,670.791,1,0.3689,2,2,1.848,0,1.37E-03,1.24E-04
Li,610.364,1,0.68562,6,4,3.879,1.848,1.90E-05,1.11E-05
Li,610.354,1,0.57138,4,2,3.879,1.848,1.06E-05,6.14E-06
Li,812.645,1,0.22309,2,4,3.373,1.848,7.88E-06,3.31E-06
Li,812.623,1,0.11156,2,2,3.373,1.848,3.94E-06,1.65E-06
Li,610.365,1,0.11427,4,4,3.879,1.848,2.11E-06,1.23E-06
Li,460.289,1,0.2322,6,4,4.541,1.848,1.32E-06,1.00E-06
Li,460.283,1,0.1935,4,2,4.541,1.848,7.31E-07,5.58E-07
Li,413.262,1,0.109,6,4,4.847,1.848,3.12E-07,2.58E-07
Li,323.266,1,0.01002,4,2,3.834,0,2.07E-07,1.18E-07
Li,497.175,1,0.06919,2,4,4.341,1.848,2.07E-07,1.48E-07
Li,413.256,1,0.0904,4,2,4.847,1.848,1.73E-07,1.42E-07
Li,460.289,1,0.03871,4,4,4.541,1.848,1.46E-07,1.12E-07
Li,391.535,1,0.05959,6,4,5.014,1.848,1.19E-07,1.02E-07
Li,323.266,1,0.01002,2,2,3.834,0,1.04E-07,5.89E-08
Li,497.166,1,0.0346,2,2,4.341,1.848,1.04E-07,7.41E-08
Li,391.53,1,0.04964,4,2,5.014,1.848,6.61E-08,5.64E-08
Li,379.5055,1,0.03684,6,4,5.114,1.848,5.93E-08,5.15E-08
Li,379.472,1,0.03649,6,4,5.114,1.848,5.88E-08,5.10E-08
Li,274.12,1,0.01247,4,2,4.522,0,4.92E-08,3.73E-08
Li,427.313,1,0.0317,2,4,4.749,1.848,3.76E-08,3.03E-08
Li,413.262,1,0.0181,4,4,4.847,1.848,3.45E-08,2.85E-08
Li,372.0869,1,0.02429,6,4,5.179,1.848,3.41E-08,2.99E-08
Li,371.87,1,0.02413,6,4,5.179,1.848,3.39E-08,2.97E-08
Li,379.472,1,0.03041,4,2,5.114,1.848,3.27E-08,2.84E-08
Li,379.5006,1,0.03037,4,2,5.114,1.848,3.26E-08,2.83E-08
Li,274.12,1,0.01248,2,2,4.522,0,2.46E-08,1.87E-08
Li,367.174,1,0.01678,6,4,5.224,1.848,2.15E-08,1.89E-08
Li,968.62,1,0.0123,6,4,5.114,3.834,1.98E-08,1.72E-08
Li,371.87,1,0.02011,4,2,5.179,1.848,1.88E-08,1.65E-08
Li,372.0822,1,0.02002,4,2,5.179,1.848,1.87E-08,1.64E-08
Li,427.307,1,0.0158,2,2,4.749,1.848,1.87E-08,1.51E-08
Li,256.231,1,0.008799,4,2,4.837,0,1.72E-08,1.41E-08
Li,953.0745,1,0.007666,8,6,5.179,3.879,1.43E-08,1.26E-08
Li,391.535,1,0.009924,4,4,5.014,1.848,1.32E-08,1.13E-08
Li,398.554,1,0.0173,2,4,4.958,1.848,1.30E-08,1.10E-08
Li,367.169,1,0.01399,4,2,5.224,1.848,1.19E-08,1.05E-08
