Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short),,
H,486.14,1,0.20625,6,4,12.749,10.199,9.49E-12,9.49E-12,,
H,656.28,1,0.64651,6,4,12.088,10.199,1.01E-10,1.01E-10,,
Li,610.37,1,0.68562,6,4,3.879,1.848,1.90E-05,1.11E-05,,
Li,670.8,1,0.3689,2,2,1.848,0,1.37E-03,1.24E-04,,
Li,670.7,1,0.36891,4,2,1.848,0,2.73E-03,2.47E-04,,
 Na,588.9,1,0.616,4,2,2.104,0,1.62E-03,1.99E-04,,
 Na,589.59,1,0.614,2,2,2.102,0,8.13E-04,9.95E-05,,
K,766.4,1,0.38,4,2,1.617,0,2.36E-03,1.45E-04,,
K,769.8,1,0.375,2,2,1.61,0,1.19E-03,7.25E-05,,
K,466.4,1,1.54E-06,4,2,2.67,0,3.26E-10,6.60E-11,,
Rb,780.02,1,0.381,4,2,1.589,0,2.31E-03,1.32E-04,,
Rb,794.7603,1,0.361,2,2,1.56,0,1.21E-03,6.67E-05,,
Rb,852.1131653,1,0.3279,4,2,1.455,0,2.94E-03,1.23E-04,,
Rb,894.3474239,1,0.2863,2,2,1.386,0,1.61E-03,6.21E-05,,
Cs,917.2197,1,0.1492,6,4,2.806,1.455,2.53E-05,4.97E-06,,
Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Be,313.04,2,1.1292,4,2,3.959,0,5.99E-04,3.75E-04,,
Be,234.861,1,5.52,3,1,5.277,0,1.50E-04,1.34E-04,,
Be,313.11,2,1.1285,2,2,3.959,0,3.00E-04,1.88E-04,,
Mg,279.55,2,2.6,4,2,4.434,0,6.87E-04,5.19E-04,,
Mg,280.27,2,2.57,2,2,4.422,0,3.49E-04,2.62E-04,,
Mg,285.2,1,4.91,3,1,4.346,0,2.23E-04,1.61E-04,,
Ca,393.37,2,1.47,4,2,3.151,0,1.03E-02,3.47E-03,,
Ca,396.85,2,1.4,2,2,3.123,0,5.29E-03,1.75E-03,,
Ca,422.67,1,2.18,3,1,2.933,0,7.14E-04,1.79E-04,,
Sr,407.77,2,1.41,4,2,3.04,0,1.40E-02,4.35E-03,,
Sr,421.55,2,1.26,2,2,2.94,0,8.36E-03,2.38E-03,,
Sr,460.73,1,2.01,3,1,2.69,0,8.97E-04,1.66E-04,,
Ba,455.4,2,1.11,4,2,2.722,0,1.75E-02,3.22E-03,,
Ba,493.4,2,0.953,2,2,2.512,0,1.45E-02,2.13E-03,,
Ba,614.17,2,0.412,4,6,2.722,0.704,6.50E-03,1.20E-03,,
Ba,649.69,2,0.31,2,4,2.512,0.604,4.72E-03,6.91E-04,,
Ba,553.5,1,1.19,3,1,2.239,0,1.01E-03,7.06E-05,,
Ra,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Sc,361.3,2,1.48,9,7,3.452,0.022,1.01E-03,4.07E-04,,
Sc,424.682,2,1.29,5,5,3.234,0.315,9.08E-04,3.06E-04,,
Sc,363.0742,2,1.2,7,5,3.422,0.008,6.92E-04,2.73E-04,,
Sc,357.253,2,1.38,7,7,3.492,0.022,6.56E-04,2.73E-04,,
Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
La,412.3218,2,0.7384,7,5,3.328,0.321,4.55E-04,1.55E-04,,
La,494.9756,1,0.1922,2,4,2.504,0,6.32E-06,7.32E-07,,
La,433.37,2,0.5026,5,5,3.033,0.173,5.26E-04,1.37E-04,,
La,433.3753,2,0.5026,5,5,3.033,0.173,5.26E-04,1.37E-04,,
La,412.47,1,0.89,6,4,3.932,0.927,9.68E-06,5.28E-06,,
AC,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
