# Wavelengths	Intensities
 178.16861	  14.33578
 178.38608	33963.51375
 178.60353	1427.43422
 178.82098	1443.81797
 179.03842	1404.90656
 179.25585	1470.44156
 179.47328	1431.53016
 179.69069	1492.96922
 179.90809	1419.24234
 180.12549	1515.49688
 180.34288	1458.15375
 180.56025	1435.62609
 180.77762	1460.20172
 180.99498	1390.57078
 181.21233	1402.85859
 181.42967	1417.19438
 181.64701	1460.20172
 181.86433	1406.95453
 182.08165	1400.81063
 182.29895	1363.94719
 182.51625	1409.00250
 182.73354	1431.53016
 182.95082	1415.14641
 183.16809	1398.76266
 183.38535	1464.29766
 183.60260	1452.00984
 183.81985	1488.87328
 184.03708	1359.85125
 184.25431	1433.57812
 184.47153	1460.20172
 184.68873	1417.19438
 184.90593	1449.96187
 185.12312	1380.33094
 185.34031	1441.77000
 185.55748	1427.43422
 185.77464	1417.19438
 185.99180	1474.53750
 186.20894	1460.20172
 186.42608	1441.77000
 186.64321	1402.85859
 186.86032	1474.53750
 187.07743	1441.77000
 187.29453	1413.09844
 187.51163	1425.38625
 187.72871	1527.78469
 187.94578	1443.81797
 188.16285	1482.72937
 188.37990	1355.75531
 188.59695	1378.28297
 188.81399	1421.29031
 189.03102	1384.42688
 189.24804	1466.34562
 189.46505	1427.43422
 189.68205	1374.18703
 189.89904	1488.87328
 190.11602	1458.15375
 190.33300	1361.89922
 190.54997	1429.48219
 190.76692	1445.86594
 190.98387	1427.43422
 191.20081	1449.96187
 191.41774	1425.38625
 191.63466	1454.05781
 191.85157	1507.30500
 192.06847	1519.59281
 192.28537	1388.52281
 192.50225	1398.76266
 192.71913	1363.94719
 192.93599	1409.00250
 193.15285	1406.95453
 193.36970	1447.91391
 193.58654	1417.19438
 193.80337	1411.05047
 194.02019	1447.91391
 194.23700	1484.77734
 194.45380	1439.72203
 194.67060	1490.92125
 194.88738	1431.53016
 195.10416	1452.00984
 195.32093	1382.37891
 195.53768	1474.53750
 195.75443	1378.28297
 195.97117	1400.81063
 196.18790	1361.89922
 196.40462	1470.44156
 196.62134	1462.24969
 196.83804	1423.33828
 197.05473	1390.57078
 197.27142	1460.20172
 197.48810	1470.44156
 197.70476	1478.63344
 197.92142	1443.81797
 198.13807	1478.63344
 198.35471	1482.72937
 198.57134	1472.48953
 198.78796	1443.81797
 199.00457	1443.81797
 199.22118	1478.63344
 199.43777	1443.81797
 199.65436	1396.71469
 199.87093	1507.30500
 200.08750	1429.48219
 200.30406	1411.05047
 200.52060	1409.00250
 200.73714	1445.86594
 200.95367	1400.81063
 201.17019	1433.57812
 201.38671	1449.96187
 201.60321	1320.93984
 201.81970	1437.67406
 202.03619	1460.20172
 202.25266	1372.13906
 202.46913	1513.44891
 202.68559	1390.57078
 202.90203	1421.29031
 203.11847	1449.96187
 203.33490	1384.42688
 203.55132	1445.86594
 203.76773	1423.33828
 203.98414	1365.99516
 204.20053	1449.96187
 204.41691	1404.90656
 204.63329	1447.91391
 204.84965	1427.43422
 205.06601	1478.63344
 205.28236	1464.29766
 205.49869	1507.30500
 205.71502	1439.72203
 205.93134	1464.29766
 206.14765	1427.43422
 206.36395	1425.38625
 206.58025	1452.00984
 206.79653	1419.24234
 207.01280	1454.05781
 207.22907	1468.39359
 207.44532	1454.05781
 207.66157	1380.33094
 207.87780	1415.14641
 208.09403	1398.76266
 208.31025	1337.32359
 208.52646	1409.00250
 208.74266	1409.00250
 208.95885	1431.53016
 209.17503	1417.19438
 209.39120	1439.72203
 209.60737	1400.81063
 209.82352	1449.96187
 210.03966	1361.89922
 210.25580	1484.77734
 210.47192	1376.23500
 210.68804	1445.86594
 210.90415	1404.90656
 211.12025	1454.05781
 211.33634	1515.49688
 211.55242	1482.72937
 211.76849	1411.05047
 211.98455	1447.91391
 212.20060	1370.09109
 212.41664	1411.05047
 212.63267	1398.76266
 212.84870	1507.30500
 213.06471	1419.24234
 213.28072	1382.37891
 213.49672	1419.24234
 213.71270	1413.09844
 213.92868	1415.14641
 214.14465	1492.96922
 214.36061	1343.46750
 214.57656	1452.00984
 214.79250	1472.48953
 215.00843	1497.06516
 215.22435	1411.05047
 215.44026	1431.53016
 215.65617	1443.81797
 215.87206	1380.33094
 216.08795	1382.37891
 216.30382	1361.89922
 216.51969	1447.91391
 216.73554	1406.95453
 216.95139	1429.48219
 217.16723	1365.99516
 217.38306	1347.56344
 217.59888	1378.28297
 217.81469	1429.48219
 218.03049	1458.15375
 218.24628	1409.00250
 218.46206	1425.38625
 218.67784	1380.33094
 218.89360	1390.57078
 219.10935	1482.72937
 219.32510	1478.63344
 219.54083	1435.62609
 219.75656	1382.37891
 219.97228	1433.57812
 220.18798	1486.82531
 220.40368	1413.09844
 220.61937	1443.81797
 220.83505	1394.66672
 221.05072	1337.32359
 221.26638	1402.85859
 221.48203	1378.28297
 221.69767	1454.05781
 221.91331	1376.23500
 222.12893	1384.42688
 222.34454	1445.86594
 222.56015	1503.20906
 222.77574	1480.68141
 222.99133	1470.44156
 223.20690	1431.53016
 223.42247	1406.95453
 223.63803	1411.05047
 223.85357	1417.19438
 224.06911	1388.52281
 224.28464	1406.95453
 224.50016	1499.11313
 224.71567	1404.90656
 224.93117	1394.66672
 225.14666	1427.43422
 225.36215	1529.83266
 225.57762	1409.00250
 225.79308	1435.62609
 226.00854	1431.53016
 226.22398	1439.72203
 226.43942	1404.90656
 226.65484	1421.29031
 226.87026	1413.09844
 227.08566	1419.24234
 227.30106	1443.81797
 227.51645	1421.29031
 227.73183	1402.85859
 227.94720	1417.19438
 228.16256	1456.10578
 228.37791	1452.00984
 228.59325	1388.52281
 228.80858	1466.34562
 229.02390	1390.57078
 229.23921	1376.23500
 229.45451	1404.90656
 229.66981	1458.15375
 229.88509	1497.06516
 230.10036	1472.48953
 230.31563	1425.38625
 230.53088	1382.37891
 230.74613	1435.62609
 230.96137	1447.91391
 231.17659	1429.48219
 231.39181	1507.30500
 231.60702	1431.53016
 231.82222	1452.00984
 232.03741	1390.57078
 232.25259	1443.81797
 232.46776	1411.05047
 232.68292	1458.15375
 232.89807	1411.05047
 233.11321	1435.62609
 233.32834	1462.24969
 233.54346	1476.58547
 233.75858	1456.10578
 233.97368	1415.14641
 234.18877	1474.53750
 234.40386	1468.39359
 234.61893	1427.43422
 234.83400	1456.10578
 235.04905	1482.72937
 235.26410	1423.33828
 235.47914	1449.96187
 235.69416	1335.27562
 235.90918	1415.14641
 236.12419	1376.23500
 236.33919	1435.62609
 236.55418	1466.34562
 236.76915	1452.00984
 236.98412	1419.24234
 237.19908	1454.05781
 237.41404	1435.62609
 237.62898	1417.19438
 237.84391	1400.81063
 238.05883	1406.95453
 238.27374	1437.67406
 238.48865	1478.63344
 238.70354	1431.53016
 238.91842	1431.53016
 239.13330	1400.81063
 239.34816	1490.92125
 239.56302	1452.00984
 239.77786	1456.10578
 239.99270	1454.05781
 240.20752	1454.05781
 240.42234	1427.43422
 240.63715	1421.29031
 240.85194	1413.09844
 241.06673	1411.05047
 241.28151	1402.85859
 241.49628	1417.19438
 241.71104	1490.92125
 241.92579	1425.38625
 242.14053	1429.48219
 242.35526	1431.53016
 242.56998	1380.33094
 242.78469	1460.20172
 242.99939	1482.72937
 243.21408	1456.10578
 243.42876	1449.96187
 243.64344	1384.42688
 243.85810	1429.48219
 244.07275	1417.19438
 244.28740	1392.61875
 244.50203	1449.96187
 244.71665	1439.72203
 244.93127	1396.71469
 245.14587	1509.35297
 245.36047	1431.53016
 245.57505	1390.57078
 245.78963	1429.48219
 246.00420	1476.58547
 246.21875	1406.95453
 246.43330	1437.67406
 246.64784	1421.29031
 246.86237	1402.85859
 247.07688	1441.77000
 247.29139	1433.57812
 247.50589	1482.72937
 247.72038	1464.29766
 247.93486	1421.29031
 248.14933	1421.29031
 248.36379	1443.81797
 248.57824	1415.14641
 248.79268	1462.24969
 249.00711	1464.29766
 249.22153	1449.96187
 249.43594	1462.24969
 249.65034	1447.91391
 249.86474	1392.61875
 250.07912	1466.34562
 250.29349	1454.05781
 250.50785	1368.04312
 250.72221	1376.23500
 250.93655	1365.99516
 251.15088	1400.81063
 251.36521	1431.53016
 251.57952	1382.37891
 251.79383	1435.62609
